Time, pos_a, pos_ref, vel_a, vel_ref, accel_a, accel_ref
349,0.289062,2.215721,0.539999,1.155995,0.496094,0.739196
350,0.289062,2.220531,0.539999,1.158881,0.480469,0.742658
351,0.289062,2.225327,0.539999,1.161759,0.442383,0.746112
352,0.289062,2.230111,0.539999,1.164629,0.527344,0.749556
353,0.289062,2.234883,0.539999,1.167492,0.560547,0.752992
354,0.289062,2.239641,0.539999,1.170347,0.565430,0.756418
355,0.289062,2.244387,0.539999,1.173195,0.609375,0.759835
356,0.289062,2.249121,0.539999,1.176035,0.515625,0.763243
357,0.347656,2.253841,0.599998,1.143711,0.584961,0.652455
358,0.347656,2.258549,0.599998,1.146536,0.555664,0.655845
359,0.347656,2.263244,0.599998,1.149353,0.660156,0.659225
360,0.347656,2.267926,0.599998,1.152162,0.494141,0.662596
361,0.347656,2.272595,0.599998,1.154963,0.456055,0.665958
362,0.347656,2.277252,0.599998,1.157757,0.500000,0.669311
363,0.347656,2.281895,0.599998,1.160543,0.589844,0.672654
364,0.347656,2.286526,0.599998,1.163322,0.548828,0.675988
365,0.347656,2.291143,0.599998,1.166092,0.552734,0.679313
366,0.347656,2.295748,0.599998,1.168855,0.542969,0.682628
367,0.347656,2.300339,0.599998,1.171610,0.637695,0.685934
368,0.347656,2.304918,0.599998,1.174357,0.448242,0.689231
369,0.347656,2.309484,0.599998,1.177097,0.441406,0.692518
370,0.347656,2.314036,0.599998,1.179828,0.503906,0.695795
371,0.347656,2.318575,0.599998,1.182552,0.409180,0.699064
372,0.347656,2.323102,0.599998,1.185267,0.450195,0.702322
373,0.347656,2.327614,0.599998,1.187975,0.543945,0.705572
374,0.347656,2.332114,0.599998,1.190675,0.528320,0.708811
375,0.347656,2.336601,0.599998,1.193367,0.510742,0.712042
376,0.347656,2.341074,0.599998,1.196051,0.462891,0.715263
377,0.347656,2.345534,0.599998,1.198727,0.410156,0.718474
378,0.347656,2.349981,0.599998,1.201395,0.496094,0.721676
379,0.347656,2.354414,0.599998,1.204055,0.541992,0.724868
380,0.347656,2.358834,0.599998,1.206707,0.458008,0.728050
381,0.347656,2.363241,0.599998,1.209351,0.504883,0.731223
382,0.347656,2.367634,0.599998,1.211987,0.557617,0.734386
383,0.406250,2.372014,0.659998,1.179458,0.397461,0.623353
384,0.406250,2.376380,0.659998,1.182078,0.526367,0.626497
385,0.406250,2.380733,0.659998,1.184690,0.522461,0.629631
386,0.406250,2.385073,0.659998,1.187294,0.536133,0.632755
387,0.406250,2.389399,0.659998,1.189889,0.460938,0.635870
388,0.406250,2.393711,0.659998,1.192477,0.536133,0.638975
389,0.406250,2.398010,0.659998,1.195056,0.497070,0.642070
390,0.406250,2.402295,0.659998,1.197627,0.527344,0.645155
391,0.406250,2.406567,0.659998,1.200190,0.431641,0.648231
392,0.406250,2.410825,0.659998,1.202745,0.484375,0.651296
393,0.406250,2.415069,0.659998,1.205292,0.490234,0.654352
394,0.406250,2.419300,0.659998,1.207830,0.487305,0.657398
395,0.406250,2.423517,0.659998,1.210360,0.435547,0.660434
396,0.406250,2.427720,0.659998,1.212882,0.513672,0.663461
397,0.406250,2.431909,0.659998,1.215395,0.455078,0.666477
398,0.406250,2.436085,0.659998,1.217901,0.538086,0.669484
399,0.406250,2.440247,0.659998,1.220398,0.416992,0.672480
400,0.406250,2.444395,0.659998,1.222887,0.589844,0.675467
401,0.406250,2.448529,0.659998,1.225367,0.512695,0.678443
402,0.406250,2.452649,0.659998,1.227839,0.549805,0.681410
403,0.406250,2.456755,0.659998,1.230303,0.503906,0.684366
404,0.406250,2.460848,0.659998,1.232759,0.424805,0.687313
405,0.406250,2.464926,0.659998,1.235206,0.430664,0.690249
406,0.406250,2.468990,0.659998,1.237644,0.417969,0.693176
407,0.406250,2.473041,0.659998,1.240075,0.484375,0.696092
408,0.476562,2.477077,0.719999,1.200309,0.423828,0.576372
409,0.476562,2.481100,0.719999,1.202722,0.450195,0.579268
410,0.476562,2.485108,0.719999,1.205127,0.490234,0.582154
411,0.476562,2.489102,0.719999,1.207524,0.506836,0.585030
412,0.476562,2.493083,0.719999,1.209912,0.534180,0.587895
413,0.476562,2.497048,0.719999,1.212292,0.484375,0.590751
414,0.476562,2.501000,0.719999,1.214663,0.459961,0.593596
415,0.476562,2.504938,0.719999,1.217025,0.583008,0.596431
416,0.476562,2.508862,0.719999,1.219379,0.542969,0.599256
417,0.476562,2.512771,0.719999,1.221725,0.503906,0.602071
418,0.476562,2.516666,0.719999,1.224062,0.448242,0.604875
419,0.476562,2.520546,0.719999,1.226390,0.511719,0.607669
420,0.476562,2.524413,0.719999,1.228710,0.479492,0.610453
421,0.476562,2.528265,0.719999,1.231022,0.550781,0.613227
